# To Value|From Value
NRL|NEUROBEHAVIORAL
PSY|NEUROBEHAVIORAL
INT|IMMUNITY
CRD|ECHOCARDIOGRAMS
PSY|ABFP
DRM|ACNE
SOC|ACSW
INT|AIDS
NUR|ARNP
RHB|KINETICS
ONC|CANCER
ORT|BACK
ORT|BONE
PSY|PSYCHCHOICE
PSY|CADC
NCF|CARE
SOC|CCSW
SOC|CISW
NRL|COMA
NUR|CPNP
NUR|CRNA
NUR|CRNP
PTH|CYTO
IMG|RADIODIAGNOSTIC
GYN|CERVICAL
ENT|DEAF
DRM|DERM
LBR|DIAG
PSY|DPSY
PHR|DRUG
HEM|HEMOCOLOGY
PTH|CYTODIAGNOSTIC
PSY|PSYCHOLOGICAL
PSY|PSYCHOLOGISTS
ENT|EARS
OPT|EYES
CRD|ARTICULAR
ORT|SKELETAL
PED|NEONATOLOGY
PSY|ALCOHOLISM
CRD|CARDIA
CRD|CARDIO
NUT|EATING
HEM|ANEMIA
DRM|FAAD
CRD|FACC
SRG|FACS
POD|FEET
EMR|FIRE
NUT|FOOD
POD|FOOT
INT|LAPAROENDOSCOPIC
CRD|CARDIOSURGICAL
PTH|HISTOLOGY
PTH|MICROBIOLOGY
HOM|HOMECARE
NTR|THERAPISTS
RHB|THERAPISTS
CRD|BREATHING
NUT|SLIMMING
RHB|SPORTSTHERAPY
PSY|PSYCHOTIC
PSY|PSYCHOTHERAPEUTIC
CRD|CARDIOPULMONARY
HEM|HEMA
HMC|HOSP
POD|PODIATRY
PRS|PROSTHODONTICS
PRS|PROSTHODONTIST
NCF|CAREPLUS
PTH|HISTOPATH
CRD|THORACOLOGY
FEM|WOMENS
HEM|PHLEBOTOMY
PSY|PSYCHTHERAPY
GNT|DIAGENETIC
FEM|LACT
SOC|LCSW
SOC|LMSW
RHB|REHABILITATE
INT|ENDOSCOPY
GST|INTEST
PSY|PSYCHOMETRICS
PSY|PSYCHOMETRIST
FAM|MFCC
HMC|MHMR
PSY|MHMR
SOC|MSPA
PSY|MSPT
SOC|MSSW
INT|IMMUNODIAGNOSTIC
OPT|OPHTHALMIC
ENT|NOSE
CRD|CARDIODYNAMIC
LBR|LABORATORIES
NCF|CAREUNIT
PSY|ADDICTION
PSY|ADDICTIVE
FEM|WOMAN
PSY|PSYD
RHB|MUSCLEOLOGY
NUT|CHOLESTEROL
EMR|POLICE
NTR|NATUROPATHIC
ORT|BACKCARE
PHR|DRUGGIST
CRD|CIRCULATION
HEM|CIRCULATORY
LBR|CHEMICAL
PED|NEONATOLOGISTS
LBR|CHEMISTS
URL|INCONTINENCE
DRM|SKIN
INT|SOMA
LBR|COMPUDIAGNOSTICS
EMR|PARAMEDICS
CHR|CHIROPRACTIVE
CHR|CHIROPRACTORS
CRD|MYOLOGY
ORT|ARTHROSCOPIC
CRD|EMPHYSEMA
HEM|THROMBOSIS
LBR|BIODIAGNOSTIC
IMG|RADIOGRAPHICS
IMG|XRAY
RHB|RADIOTHERAPEUTIC
GYN|OBSTETRICAL
FEM|ABORTION
SPC|SPEECH
OPT|RETINAL
CRD|CARDIOSONOGRAPHY
CRD|ECHOCARDIOGRAM
PED|CHILDRENS
PSY|PSYCHODIAGNOSTICS
NTR|WHOLISTIC
DNT|PEDODONTISTS
ENT|AUDIOLOGIST
PED|KIDTHERAPY
FEM|BREASTFEEDING
OPT|OPTOMETRY
PSY|PSYCHOPHYSICAL
OPT|OCULARISTS
SOC|SOCIOTHERAPY
NUT|SLIMMER
IMG|TOMODIAGNOSTICS
ORT|COLLAR
OPT|LENSCRAFTERS
NRL|SPINAL
ORT|SPINAL
FEM|MATERNITY
NCF|CAREGIVERS
PSY|PSYCHOTHERAPISTS
DNT|ORTHODONTIC
CRD|BRONCHOSCOPY
NRL|MENINGEAL
DBT|GLUCOSE
GYN|INFERTILE
NCF|HEALTHCARE
CRD|ECHOCARDIOLOGY
PSY|PSYCHIATRISTS
GST|GASTROENDOSCOPY
NRL|MYONEURO
NTR|ALTERNATIVE
POD|FOOTCLINIC
CRD|PULM0NARY
SPC|LINGUAL
FEM|MAMMOGRAPHY
IMG|MAMMOGRAPHY
PSY|DEPRESSION
PSY|DEPRESSIVE
PHR|PHARMACEUTICALS
OPT|OCULAR
PSY|DEMENTIA
GST|STOMATOLOGY
LBR|DIAGNOSTIC
OPT|CORNEA
PSY|EPILEPSY
RHB|THERAPEUTIC
ONC|CHEMOTHERAPY
HEM|COAGULATION
INT|IMMUNIZATION
DNT|PERIODONTISTS
PTH|BIOPATHOLOGY
PED|PRENATAL
PSY|ALCOHOLIC
ALG|ALLERGIC
RHB|AQUATHERAPY
ALG|ALLERGIES
ALG|ALLERGIST
SOC|LMSSW
GST|DIAGDIGESTIVE
NRL|NEURODIAGNOSTIC
OPT|OPHTHALMICS
OPT|GLAUCOMA
IMG|RADIODIAGNOSTICS
EMR|TRAUMATOLOGY
ORT|ARTHRITIS
OPT|OCULARIST
DBT|ENDODONTICS
DBT|ENDODONTIST
OPT|OPTICS
INT|IMMUNOGENETICS
GYN|FERTILITY
CRD|ELECTROCARDIOGRAPHY
NUT|DIETARY
GST|GASTROENTEROLOGICAL
GST|GASTROENTEROLOGISTS
RHB|FITNESS
EMR|AMBULANCES
RNL|NEPHROLOGICAL
RNL|NEPHROLOGISTS
SRG|MICORSURGICAL
GER|GERIATRICS
ONC|ONCOLOGY
PSY|PSYCHOTHERAPY
CRD|ASTHMATIC
RNL|CATHETERIZATION
PSY|SEIZURE
NTR|ACUPUN
IMG|TOMOGRAPHY
PRS|BIOMECHANIC
HEM|HEMATOLOGY
OPT|OPHTHALMOLOGY
IMG|URORADIOLOGY
PSY|RETARDED
PTH|PATHOLOGIST
PSY|ADDICT
CRD|ATHEROSCLEROSIS
CRD|PULMONOLOGISTS
PRS|ORTHOTIC
PSY|AGORAPHOBIA
GST|RECTAL
IMG|SONOGRAPHICS
ENT|EQUILIBRIUM
RHB|KINETIC
NRL|AUTONOMIC
NUT|OBESITY
INT|VACCINATIONS
EMR|AEROMEDICAL
ORT|ORTHOPEDICS
ORT|ORTHOPEDIST
LBR|DIAGNOSTICS
EMR|TRAUMATIC
FAM|ABUSE
ENT|AUTOLARINOLOGY
FEM|MENOPAUSE
PSY|PSYCHOLOGIST
RHB|BODYTHERAPY
NTR|ACUPRESSURE
PSY|PSYCHODIAGNOSTIC
NUT|NUTRITIONISTS
EMR|TRAUMA
SRG|SURGERIES
ORT|MUSCLOSKELETAL
NCF|CAREFIRST
CHR|CHIROSPECIALISTS
EMR|AIRMEDICAL
LBR|BIOANALYTICAL
ORT|MUSCULOSKETAL
GNT|BIOGENETICS
ANS|ANESTHETICS
ANS|ANESTHETIST
FEM|BREASTS
CRD|BREATHE
NTR|ACUTHERAPY
HMC|MEDICLINICS
LBR|CHEMIST
EQP|RENTAL
DBT|ENDODONTISTS
NTR|TELESIS
EMR|URGENT
PSY|ALCOHOL
ORT|OSTEOPOROSIS
INT|HYPERBARIC
PHR|PHARMACOLOGY
PSY|PSYCHIATRICS
PSY|PSYCHIATRIST
HOM|HOMEMEDICAL
ENT|DEAFNESS
FEM|WOMENSOURCE
ENT|NASAL
PED|NATAL
OPT|CORNEAL
OPT|CORNEAS
GST|INTESTINAL
PRS|ORTHOTICS
PRS|ORTHOTIST
CRD|RESPIRATORY
ORT|RHEMATOLOGISTS
EMR|RESCUE
ORT|ANKLE
PSY|MENTAL
PUB|PREVENTION
PUB|PREVENTIVE
PSY|RETARD
OPT|RETINA
OPT|LENSES
GNT|BIOGENETIC
ORT|CRANIOFACIAL
INT|APNEA
PSY|APNEA
CRD|CARDIAC
GST|DIGESTION
GST|DIGESTIVE
INT|PARASITIC
URL|UROLOGIC
NCF|CAREMEDICAL
HEM|HEMOSTASIS
NRL|ELECTRONEURODIAGNOSTIC
ANS|ANESTHETISTS
IMG|TELERADIOLOGY
NTR|HYPNOTHERAPY
NRL|NEURAL
FEM|FEMALE
NRL|CEREBROVASCULAR
PSY|PSYCHODRAMATIC
IMG|ULTRASONICS
FEM|HOMEBIRTH
ENT|AUDIO
INT|IMMUNOLOGICAL
INT|IMMUNOLOGISTS
NRL|NEUROMUSCLAR
PSY|PSYCHOANALYSIS
PSY|PSYCHOANALYTIC
GST|HEPATOBILIARY
NTR|HERBAL
DNT|DENTAL
PSY|SANATORIUM
OPT|OPTOMETRIC
PRS|BIOMECHANICAL
DNT|DENTISTS
GST|COLORECTAL
SRG|PREOPERATIVE
IMG|MAGNETIC
DNT|PERIODONTOLOGY
OPT|OPTICAL
HMC|HOSPITALS
FEM|CONCEPTION
NUT|NUTRITIONIST
RHB|AMPUTEE
POD|PODIATRISTS
INT|HYPERBARICS
PTH|CYTOCHEMICAL
LBR|BIOANALYSIS
EMR|EMERGECLINICS
FEM|BREAST
CRD|BREATH
NRL|NEUROPHYSIOLOGICAL
ALG|ALLERGISTS
ENT|OTORHINOLARYNGOLOGICAL
HEM|HEMODIALYSIS
FEM|BIRTH
PSY|PSYCHOPHARMACOLOGY
IMG|IMAGING
ORT|ARTHROSCOPY
OPT|OPTICIANS
GYN|OBSTETRICS
INT|THYROID
PSY|FIXATION
ONC|ONCOLOGICAL
ONC|ONCOLOGISTS
PSY|PHYSIATRIST
CRD|CARDIODYNAMICS
HEM|BLOOD
IMG|CONSULRADIOLOGY
RHB|PHYSIOTHERAPEUTIC
RHB|SPORTHOPEDICS
NUR|NURSE
GYN|OBGYN
PSY|NERVOUS
FEM|MIDWIVES
GYN|UROGYNECOLOGIST
URL|UROGYNECOLOGIST
ORT|BONES
INT|VACCINE
DNT|DENTURES
PED|NEONATAL
PED|NEONATES
INT|SOMATIC
FEM|FEMININE
FEM|FEMINIST
NRL|REFLEXOLOGIST
PHR|PHARMACEUTICAL
HEM|HEMOPHILIA
ORT|ORTHOPEDIC
CRD|CARDIODIAGNOSTICS
CRD|ELECTROCARDIOGRAM
RHB|SPORTSOPEDICS
ORT|RHEUMATISM
FEM|MIDWIFERY
URL|UROLOGY
INT|INSOMNIA
PSY|INSOMNIA
FEM|PREMENSTRUAL
PSY|METAPSYCHOLOGY
GYN|FERTILIZATION
RHB|BIOTHERAPEUTICS
LBR|BIODIAGNOSTICS
CRD|ARTERY
CRD|ELECTROCARDIOLOGY
INT|ENDOSCOPIC
LBR|DIAGNOSIS
ENT|OTOLARYNGOLOGIST
NTR|THERAPIST
RHB|THERAPIST
INT|SLEEPING
PSY|SLEEPING
PHR|PHARMACOLOGICAL
GYN|GYNECOLOGIC
DRM|DERMATOLOGIC
INT|IMMUNIZATIONS
CRD|ELECTROCARDIOGRAMS
CRD|ELECTROCARDIOGRAPH
IMG|ROENTGENOLOGY
ENT|OTONEUROLOGICAL
NTR|HOLISTIC
OPT|OPTIC
PED|CHILD
CHR|CHIRO
NRL|ELECTROPHYSIOLOGY
NRL|NEUROTRONICS
SOC|CICSW
RNL|NEPHROLOGY
NRL|NEUROTOLOGY
ORT|ORTHO
OPT|OPTICIAN
PRS|PROSTODONTIC
GYN|INFERTILITY
DNT|PERIODONTAL
DNT|PERIODONTIC
NRL|ELECTROENCEPHALOGRAM
DBT|ENDODONTIC
GYN|GYNECOLOGY
CRD|CARDIORESPIRATORY
FEM|WOMENHEALTH
FEM|BREASTCARE
NRL|PALSY
PSY|PANIC
NRL|NEUROLOGIST
PHR|APOTHECARY
EMR|TRAUMATOLOGIST
PSY|PSYCHIATRIC
RNL|DIALYSIS
NTR|ACUPUNCTURIST
PSY|PSYCHE
NUT|NUTRITIONAL
INT|IMMUNOBIONOMICS
URL|INCONTINENT
GST|COLON
CRD|CARDIOSPECIALISTS
PHR|PHARMACY
NRL|NEUROMUSCULAR
FEM|MAMMOGRAM
IMG|MAMMOGRAM
IMG|ULTRASONIC
NCF|CARETENDERS
OPT|OCULOPLASTIC
NUR|CRNFA
NCF|CAREHABILITATION
URL|GENITOURINARY
GST|COLONSCOPY
OPT|OPHTHALMOLOGICAL
OPT|OPHTHALMOLOGISTS
HOM|HOMEDICAL
OPT|SUPEROPTICS
PSY|SANITARIUM
OPT|OCULIST
PRS|BIOMECHANICS
IMG|VIDEOSCOPIC
CRD|STROKE
PSY|PSYCHOLOGY
CRD|ASTHMA
ENT|OTOLAR
ONC|ONCODIAGNOSTIC
DNT|ORTHODONTICS
DNT|ORTHODONTIST
NRL|NEUROLOGICAL
NRL|NEUROLOGISTS
EMR|EMERGENCIA
NTR|HEALING
LBR|BIOCLINICAL
CRD|CARDIOSONICS
CRD|CARDIOLOGIST
CRD|CARDIOTECHNOLOGY
SRG|SURGICLINIC
INT|PERFUSIONIST
IMG|UROSONICS
URL|UROLOGIST
RHB|THERAPEUTICS
PHR|ANTIBIOTIC
URL|UROLOGICAL
URL|UROLOGISTS
PED|PEDIATRICS
RHB|AEROBICS
ENT|OTOSURGICAL
INT|EPIDEMIOLOGY
ENT|THROAT
ONC|LYMPHATIC
PSY|PHOBIA
PSY|PHOBIC
CRD|CARDIOTHORACIC
ENT|HEARING
PED|PEDICHOICE
PED|PEDIATRICIAN
GNT|DATAGENETICS
GST|GASTROINTESTINAL
PRS|PROSTHESIS
PRS|PROSTHETIC
IMG|RADIOIMMUNOASSAY
NRL|NEUROMETRICS
POD|PODIATRIC
ENT|OTORHINOLOGY
RHB|SPORTOPAEDICS
FEM|MASTECTOMY
EMR|EMERGENCY
IMG|RADIOGRAPHICAL
DNT|PEDODONTIC
NTR|NATURAL
CRD|ECHOCARDIODIAGNOSTIC
OPT|EYEBALLS
NTR|MASSAGE
GNT|GENETICS
GYN|GYNECOLOGIST
ENT|OTORHINOLARYNGOLOGY
PED|PERINATOLOGIST
NUT|DIETICIAN
PHR|DRUGS
PTH|PATHOLOGICAL
PTH|PATHOLOGISTS
PTH|CYTOMETRY
ANS|ANESTHESIA
ANS|ANESTHETIC
NTR|NATUROBIOHOLISTIC
PED|PEDIATRISTS
DRM|DERMATOLOGIST
RNL|KIDNETICS
DBT|DIABETES
DBT|DIABETIC
CRD|CARDIOMEDICAL
GST|PROCTOLOGY
ORT|RHEUMATOLOGY
HEM|HEMODYNAMIC
ENT|LARYNGEAL
PSY|COUNSELING
PLS|RESTORATION
PLS|RESTORATIVE
HMC|CLINICS
CRD|DYSRHYTHMIC
CRD|CORONARY
GST|STOMACH
ENT|AUDIOVESTIBULAR
POD|PODIATRICS
POD|PODIATRIST
PSY|ADDICTIONOLOGY
ORT|MUSCULOSKELATAL
ENT|LARYNGOLOGY
PLS|LIPOSUCTION
CRD|VASCULAR
GST|HEPATOLOGY
HEM|TRANSFUSION
GST|ENTEROLOGY
HMC|MEDICLINIC
ORT|SCOLIOSIS
IMG|SONOGRAPHY
OPT|GLASSES
NUR|NURSES
RHB|PHYSIOTHERAPY
NTR|HYPNOTHERAPIST
CRD|ARTERIAL
OPT|VISION
PED|NEOMEDICS
INT|THYROIDOLOGY
ORT|MUSCULOSKELETAL
INT|VACCINES
INT|TOXICOLOGY
RHB|HYDROTHERAPY
PTH|CYTODIAGNOSTICS
DRM|DERMATOPATHOLOGY
PTH|DERMATOPATHOLOGY
ENT|MANDIBULAR
SOC|RABBI
CRD|CARDIOGRAPHICS
URL|PROSTATE
ORT|ORTHOPEDISTS
GNT|GENETIC
PHR|PHARMACIES
PHR|PHARMACIST
DRM|DERMATOLOGICAL
FEM|FEMCARE
DRM|DERMATOLOGISTS
OPT|SCLEROSIS
INT|INTERNAL
FEM|MATERNAL
ENT|SNORING
RHB|REHAB
DBT|RENAL
EQP|RENTS
GST|DIGEST
NRL|CEREBRAL
CRD|PULMONOLOGY
INT|LAPAROSCOPIC
CRD|CARDIOMYOPATHY
PED|PERINATRONICS
PUB|PREVENTATIVE
PSY|VERTIGO
FAM|FAAFP
GYN|FACOG
PED|NEONATOLOGIST
CRD|PULMONARY
CRD|PULMONICS
NRL|TRANSDURAL
IMG|DENSITOMETRY
PLS|RECONSTRUCTION
PLS|RECONSTRUCTIVE
PSY|AUTISTIC
ENT|OTOLOGICAL
ENT|OTOLOGISTS
PSY|AUTISM
CRD|CARDIOLOGY
FEM|FEMME
PED|FETAL
PTH|CYTOLOGY
NRL|EPILEPTOLOGY
FEM|PREGNANT
NTR|ACUPUNCTURE
GER|GERIATRICIANS
DBT|ENDOCRINOLOGISTS
RHB|MUSCULAR
INT|HYPERTENSION
ORT|FRACTURES
RHB|SPORTHERAPHY
IMG|RADIOISOTOPE
SRG|SURGEONS
PED|PERINATAL
PTH|CYTOLOGICAL
PHR|APOTHECARIES
INT|TUBERCULOSIS
CRD|ARRHYTHMIA
NTR|HYPNOTIST
EQP|RENTALS
CRD|CARDIODIAGNOSTIC
DRM|DERMATOLOGY
CRD|CARDIOMEDICS
RHB|SPORTHERAPY
INT|PERFUSIONISTS
GST|GASTROENTEROLOGIST
PTH|MICROCULTURE
SRG|SURGICAL
NCF|RETIREMENT
PED|NEWBORN
NTR|OSTEOPATHIC
NRL|NEUROPHYSIOLOGY
NRL|NEUROMETRIC
IMG|SCANS
PHR|PRESCRIPTION
PHR|PRESCRIPTIVE
ORT|RHEUMATIC
FEM|MAMMOGRAMS
IMG|MAMMOGRAMS
ONC|ONCOLOGIC
HEM|HEMATOLOGYONCOLOGY
ONC|HEMATOLOGYONCOLOGY
ONC|ONCOLOGICS
ONC|ONCOLOGIST
PTH|CYTOMETRICS
NUT|VITAMIN
FEM|HORMONAL
NRL|ALZHEIMERS
CRD|INHALATION
IMG|RADIOGRAPHIC
RHB|REHABILITATION
RHB|REHABILITATIVE
ENT|OTOLARYNGOLOGIC
PSY|PSYCHODYNAMICS
PHR|ANTIBIOTICS
ENT|SINUS
OPT|CATARACT
IMG|ROENTGENOLOGISTS
ENT|AUDITORY
EMR|CRITICAL
IMG|RADIOLOGICAL
IMG|RADIOLOGISTS
IMG|RADIOLOGICS
IMG|RADIOLOGIST
IMG|RADIOLOGIC
DRM|SKINS
EMR|URGENCY
NRL|SKULL
RHB|BIOKINETICS
PED|INFANTS
ALG|ALLERGISTICS
INT|SLEEP
PSY|SLEEP
ANS|ANESTHESIOLOGISTS
DBT|DIABETICS
DNT|SMILE
EMR|PARAMEDICAL
CHR|CHIROSOURCE
