# To Value|From Value
GILBERT|BERT
HERBERT|BERT
HUBERT|BERT
LAMBERT|BERT
NORBERT|BERT
ROBERTO|BERT
ELIZABETH|BESS
ELIZABETH|BESY
ELIZABETH|BETA
BETHANY|BETH
ELIZABETH|BETH
ELIZABETH|BETI
ELIZABETH|BETT
ELIZABETH|BETY
BEVERLY|BEVE
BEVERLY|BEVY
BARBARA|BIBI
BEATRICE|BIBI
WILLIAM|BILI
WILLIAM|BILL
WILLIAM|BILY
BIRDIE|BIRD
BLY|BLYE
ROBERT|BOBY
BONITA|BONI
BRADLEY|BRAD
BREANN|BREE
BRENDA|BREN
BRENNA|BREN
BRIANNA|BRIA
BRITA|BRIT
BRITANI|BRIT
BRITTANY|BRIT
BRONSON|BRON
BRONWYN|BRON
BRUCE|BRUE
BRIAN|BRYA
BRIANNE|BRYN
BRINA|BRYN
ALBERT|BURT
BERTRAM|BURT
BURTON|BURT
BIRDIE|BYRD
MCLEARY|MCCLEARY
WILLIAM|WILLLIE
HARRIET|HATTIE
HENRIETTA|HATTIE
HARRIET|HATTYE
CANDACE|CACE
KATHERINE|CAIT
CALEB|CALE
CALVIN|CALV
CALYPSO|CALY
CAMILLE|CAMI
CARLOS|CARL
CARLTON|CARL
CAROLINE|CARY
CARROLL|CARY
CASSANDRA|CASS
CASSIDY|CASS
KATHERINE|CATA
CATHERINE|CATH
KATHERINE|CATH
KATHLEEN|CATH
CECELIA|CECE
CECELIA|CEIL
KATHERINE|CEIT
CHARDONNAY|CHAR
CHARLA|CHAR
CHARLOTTE|CHAR
CHERYL|CHAR
CHARLES|CHAS
CHERILYN|CHER
CHESTER|CHES
CHESTER|CHET
CHEYENNE|CHEY
CHEYENNE|CHIE
CHARLES|CHUK
CYNTHIA|CIND
CLARA|CLAR
CLEMENT|CLEM
CLEOPATRA|CLEO
CLIFFORD|CLIF
COLBY|COBI
JACOBI|COBY
NICHOLAS|COLA
COLIN|COLE
COLLEEN|COLI
CONSTANCE|CONI
CONSTANCE|CONY
CORDELL|CORD
COURTNEY|CORI
CONRAD|CORT
COY|COYE
CHRISTIAN|CRIS
CHRISTINE|CRIS
CRYSTAL|CRIS
CRYSTAL|CRYS
CURTIS|CURT
JOAN|JOANE
JOAN|JOANI
JOAN|JOANY
JOCELYN|JOCIA
JOSEPHINA|JOEEI
JOHN|JOHNE
JOHNA|JOHNI
JOHN|JOHNY
JOSEPHINA|JOISE
JOSEPHINA|JOISY
JOLANDA|JOLAN
JOLENE|JOLEE
JOLENE|JOLEY
JOAN|JONAE
JUANA|JONEY
JOAN|JONIE
JUANA|JONIE
JON|JONNE
JON|JONNI
JON|JONNY
JORDAN|JORDI
JORDAN|JORDY
JOSE|JOSEE
JOSEPH|JOSEY
JOSHUA|JOSHI
JOSEPHINE|JOSIE
JOSE|JOSSE
ERNEST|EARNIE
DAKOTA|DACK
DALLAS|DALL
DALTON|DALT
DANA|DANE
DEANGELO|DANG
DANIEL|DANI
DANTE|DANT
DANIEL|DANY
DARLENE|DARA
DARBY|DARB
DARIUS|DARE
DARREN|DARE
DARIA|DARI
DAVID|DAVE
DAVID|DAVI
DAVID|DAVY
DAY|DAYE
DEBRA|DEBA
DEBORAH|DEBB
DEBORAH|DEBE
DEBORAH|DEBI
DEBORAH|DEBO
DEBRA|DEBR
DEBORAH|DEBS
DEBORAH|DEBY
DEXTER|DECK
DOMINIC|DECO
DELANEY|DELL
DELBERT|DELL
DELLA|DELL
DENISE|DENE
DENISE|DENI
DENNIS|DENN
DENNIS|DENO
DEREK|DERE
DEREK|DERK
DEREK|DERR
DESIREE|DESI
DESMOND|DESI
DEVIN|DEVY
RICHARD|DICK
DEIRDRE|DIDI
DILLON|DILL
VLADIMIR|DIMA
DEAN|DINO
DIONNE|DION
DOROTHY|DODI
RUDOLF|DOLF
RUDOLPH|DOLF
DOLLY|DOLL
DONALD|DONI
DONALDA|DONI
DONALD|DONN
DOREEN|DORA
DORIS|DORA
DORIA|DORI
DOROTHY|DORI
DOROTHY|DOSI
DOROTHY|DOSY
DOROTHY|DOTT
DOROTHY|DOTY
DOUGLAS|DOUG
ANDREW|DREU
ANDREW|DREW
ANDREW|DRUE
DREY|DRYE
DRY|DRYE
DUDLEY|DUDD
DUSTIN|DUST
DARLENE|DARLIE
WENDELL|WENDY
ERNEST|EARN
EDWARD|EDDE
EDWARD|EDDI
EDITH|EDDY
EDWARD|EDDY
EDWIN|EDDY
EDWINA|EDDY
EDITH|EDEE
EDITH|EDIE
EDWARD|EDIE
EDWARD|EDWA
EDWIN|EDWI
EDITH|EDYE
AGATHA|EGIE
EILEEN|EILA
EILEEN|EILY
ROBERT|ROBBIE
ROBERTA|ROBBIE
ELEANOR|ELEA
ALEXANDER|ELEX
ADELAIDE|ELKE
ELLEN|ELLA
ELIZABETH|ELLE
ELLEN|ELLE
ELLEN|ELLI
ELAINE|ELLY
ELEANOR|ELLY
ELINOR|ELLY
ELLEN|ELLY
ELMER|ELMO
EMANUEL|EMAN
EMANUEL|EMEK
EMILY|EMIE
EMILY|EMME
EMILY|EMMI
EMMA|EMMI
EMILY|EMMY
EMMA|EMMY
EMMETT|EMMY
ANDRE|ENDY
DEREK|ERIC
ERNESTINE|ERNA
ERNEST|ERNE
ERNEST|ERNI
ERNEST|ERNO
ERNEST|ERNS
ERNEST|ERNY
IRVING|ERVY
ESMERALDA|ESME
ESTHER|ESTH
ESTHER|ESTI
ESTHER|ESTY
ETHEL|ETHA
ETHAN|ETHE
ETHEL|ETHE
ESTHER|ETTA
HENRIETTA|ETTA
ESTHER|ETTY
EUGENE|EUGE
EUNICE|EUNA
EVELYN|EVEA
EVELYN|EVEE
EVELYN|EVIE
TUOTTE|THUOTTE
JANE|JAYNIE
CARINA|CARINE
CARLY|CARLYE
CARMELA|CARMIE
CARMEN|CARMIE
CAROLINE|CAROLE
CAROL|CARRIE
CAROLE|CARRIE
CAROLINE|CARRIE
CAROLYN|CARRIE
MEAGER|MEAGHER
FABIAN|FABE
FABIAN|FABI
FAY|FAYE
FERDINAND|FERD
FREDERICK|FERD
FERNANDA|FERN
JOSEPHINA|FINA
FITZGERALD|FITS
FITZGERALD|FITZ
FLANNERY|FLAN
FLORENCE|FLOE
FLORENCE|FLOR
ALPHONSO|FONS
FOY|FOYE
FRANCES|FRAN
FRANCIS|FRAN
FRANKLIN|FRAN
ALFRED|FRED
FREDERICK|FRED
FREDRICK|FRED
FRY|FRYE
BARBARA|BARBEE
BARBARA|BARBIE
BARNARD|BARNEY
BERNARD|BARNEY
BARNARD|BARNIE
BERNARD|BARNIE
CASSIDY|CASSEY
CASSANDRA|CASSIE
CASSIDY|CASSIE
BARRETT|BARRIE
BARTHOLOMEW|BARTIE
CHRISTINE|CHRYSTIE
GABRIEL|GABE
GABRIELLA|GABY
GABRIELLE|GABY
ABIGAIL|GAIL
ABIGAIL|GALE
GARVEY|GARV
GERALD|GARY
GAY|GAYE
ABIGAIL|GAYL
JEFFREY|GEFF
GENEVA|GENA
GENEVIEVE|GENA
JENNIFER|GENA
EUGENE|GENE
JEANETTE|GENE
GUINEVERE|GENN
JENNIFER|GENY
JEFFREY|GEOF
GERARD|GERD
GERALDINE|GERE
JEREMY|GERE
GERALDINE|GERI
GERTRUDE|GERT
GERALDINE|GERY
GIOVANNI|GIAN
GILBERTE|GIGI
GILLIAN|GILI
GILBERT|GILL
GILBERTE|GILL
GILLIAN|GILL
REGINA|GINA
VIRGINIA|GINA
GINA|GINI
GINGER|GINI
GLADYS|GLAD
GLORIA|GLOR
GORDON|GORD
GREGORY|GREG
MARGARET|GRET
GUSTAV|GUSS
GUY|GUYE
GUINEVERE|GWEN
GWENDOLYN|GWEN
GWYNETH|GWYN
CATHERINE|CATHAY
CATHERINE|CATHEE
CATHERINE|CATHEY
CATHERINE|CATHIE
CATHERINE|CATHYE
KATHERINE|CATINA
KATHERINE|CATUCA
ANGELA|ANGEIA
ANGELA|ANGGIE
HENRY|HANK
HAROLD|HARR
HARVEY|HARV
HAY|HAYE
HELEN|HELI
HERBERT|HERB
HERMAN|HERM
HAROLD|HERR
HEE|HEYE
HEY|HEYE
HILDA|HILD
HOWARD|HOWE
HOY|HOYE
HERBERT|HUEY
HUGH|HUEY
HUBERT|HUGH
MATHEW|HUGH
MATTHEW|HUGH
HUMPHREY|HUMP
HUNTER|HUNT
HUNTLEY|HUNT
WILLIAM|WILEY
WILLIAM|WILIE
WILLIAM|WILLE
WILLIAM|WILLI
WILL|WILLS
WILLI|WILLS
WILLIAM|WILLS
WILLIE|WILLS
WILLY|WILLS
WILFRED|WILLY
WILLIAM|WILLY
WILHELMINA|WILMA
ISAAC|IKEY
ISAAC|IKIE
EILEEN|ILEA
EILEEN|ILEE
ILIANA|ILIA
AGNES|INES
IRENE|IREE
IRINA|IRIN
ISABELLA|ISSI
ISABELLA|ISSY
KATHERINE|KAITE
KATHERINE|KAITY
KATHERINE|KAJSA
IVETTE|IVEY
CALANDRA|KALAN
CANDACE|KANDI
CANDACE|KANDY
ISAAC|IZZY
ISRAEL|IZZY
KAREN|KAREY
KARIN|KAREY
KARYN|KAREY
KAREN|KARRI
KARIN|KARRI
KARYN|KARRI
KATHERINE|KASIA
KATHERINE|KASIN
KATHERINE|KASKA
KASSANDRA|KASSI
KATHERINE|KATEE
KAITLYN|KATEY
KATHERINE|KATEY
KATHLEEN|KATEY
KATHLEEN|KATHA
KATHERINE|KATHE
KATHERINE|KATHI
KATHLEEN|KATHI
KATHLEEN|KATHL
KATHERINE|KATHR
KATHERINE|KATHY
KATHLEEN|KATHY
KATHERINE|KATIA
CATHERINE|KATIE
KATHERINE|KATIE
KATHLEEN|KATIE
KAITLYN|KATLY
KATHERINE|KATRI
KATHERINE|KATTI
KATHLEEN|KATTI
KATHERINE|KATTY
KATHERINE|KATYA
KATHERINE|KATYE
KATHLEEN|KATYE
KATHERINE|KAYAH
JUANITA|JUANA
JUAN|JUANE
JUANITA|JUANI
JUDITH|JUDDY
JUDITH|JUDEE
JUDITH|JUDIE
JUDITH|JUDYE
JULIAN|JULES
JULIA|JULIE
JUSTINE|JUSTE
JUSTIN|JUSTI
JUSTINE|JUSTI
JUSTINE|JUSTY
DAWN|DAWNIE
JACQUELINE|JACI
JOHN|JACK
JACOB|JACO
JACOB|JAKE
JAMES|JAMI
BENJAMIN|JAMY
JAMES|JAMY
JANET|JANN
JARITA|JARA
JARITA|JARI
JASON|JASS
JAY|JAYE
JEANETTE|JEAN
JOAN|JEAN
JEFFERSON|JEFF
JEFFREY|JEFF
JACOB|JEKS
JENNIFER|JENA
JENNIFER|JENI
JENNIFER|JENN
GERALD|JERE
JEREMY|JERE
JEROME|JERY
JESSICA|JESE
JESSICA|JESI
JESSE|JESS
JESSICA|JESS
JESUS|JESU
JESUS|JESY
JILLIAN|JILL
JAMES|JIME
JAMES|JIMI
JAMES|JIMM
JAMES|JIMY
JEAN|JOAN
JOCELYN|JOCI
JOSEPH|JODY
JOSEPH|JOEI
JOSEPH|JOES
JOSEPH|JOEY
JOSEPH|JOIE
JOSEPHINA|JOIE
JOSEPHINA|JOII
JOSEPH|JOJO
JOLANDA|JOLA
JOLENE|JOLE
JUANA|JONI
JON|JONY
JORDAN|JORD
JOSE|JOSA
JOSEPH|JOSE
JOSHUA|JOSH
JOSHUA|JOSS
JOSHUA|JOSY
JOY|JOYE
JUDITH|JUDE
JUDITH|JUDI
JUDITH|JUDY
JULIAN|JULE
JULIA|JULI
JUSTIN|JUST
KATHERINE|KAIT
KAMILAH|KAMI
KAREN|KARI
KARIN|KARI
KARYN|KARI
KAREN|KARY
KARIN|KARY
KARYN|KARY
KATHERINE|KATA
KATHLEEN|KATA
CATHERINE|KATE
KATHERINE|KATE
KATHLEEN|KATE
KATHERINE|KATH
KATHLEEN|KATH
KATHERINE|KATI
KATHLEEN|KATI
KATHERINE|KATY
KATHLEEN|KATY
KATHERINE|KAYA
KATHERINE|KAYE
KATHLEEN|KAYE
KAY|KAYE
KENNEDY|KENA
KENDAL|KEND
KENDALL|KEND
KENDAL|KENE
KENDELL|KENE
KENDRICK|KENE
KENNETH|KENE
KENDAL|KENI
KENDALL|KENI
KENDELL|KENI
KENDRICK|KENI
KENIA|KENI
KENNETH|KENI
KENAN|KENN
KENDAL|KENN
KENDALL|KENN
KENDELL|KENN
KENNETH|KENN
KENTON|KENT
KAREN|KERI
KARIN|KERI
KARYN|KERI
KIERAN|KERN
KESSIE|KESS
KATHERINE|KETI
KEVIN|KEVE
KEVIN|KEVI
KEVIN|KEVY
KEE|KEYE
KEY|KEYE
KIMBERLY|KIMB
KIMBERLY|KIMI
KIMBERLY|KIMM
KIMBERLY|KIMY
THOMAS|KOMA
KORINA|KORI
KRISTIN|KRIS
CURTIS|KURT
KIMBERLY|KYME
KIMBERLY|KYMM
ELAINE|LANI
LEILANI|LANI
LAWRENCE|LARI
LORRAINE|LARI
LARRY|LARR
LAWRENCE|LARY
LAURA|LAUA
LAURA|LAUR
LAUREN|LAUR
LAURIE|LAUR
LORI|LAUR
LAY|LAYE
LISA|LEIS
ARLENE|LENA
MADELINE|LENA
LEONARD|LENN
VALERIE|LERA
LETICIA|LETA
LEWIS|LEWY
ALEXIS|LEXI
ALEXANDRA|LEXY
GILLIAN|LIAN
LYDIA|LIDI
LILLIAN|LILI
LILITH|LILY
LILLIAN|LILY
LINDA|LIND
LINDA|LINE
LIN|LINH
LIN|LINI
LINDA|LINI
LINN|LINI
LINDA|LINN
LINNEA|LINN
LINDSAY|LINS
LINDSEY|LINS
LIN|LINY
LINDA|LINY
LINN|LINY
ELISA|LISA
ELIZABETH|LISA
CARMELA|LITA
ELIZABETH|LIZA
LOUISE|LOLA
LAURA|LORI
LORETTA|LORI
LORRAINE|LORI
LOWELL|LOWE
LUCILLE|LUCY
LUCINDA|LUCY
LEWIS|LUEY
LUELLA|LULA
LUELLA|LULU
LINDA|LYDE
LINDA|LYDI
LINDA|LYND
LYNDA|LYND
LYNDALL|LYND
LYNDA|LYNE
CAROLYN|LYNN
LYNDA|LYNN
LYNDON|LYNN
LYNELL|LYNN
LYNNDA|LYNN
MARILYN|LYNN
JOAN|JOANIE
JOAN|JOANNY
CALANDRA|CAYLAN
CAITLIN|CAYLEY
WOODROW|WOODIE
EMANUEL|MACO
MATHEW|MADS
MATTHEW|MADS
MARGARET|MAGI
MARGARET|MAGO
MARGARET|MAGY
MATHEW|MAIT
MARGARET|MAME
MARGARET|MAMI
MANUEL|MANO
MARGARET|MARG
MARIA|MARI
MARCUS|MARK
MARGARET|MART
MARTIN|MART
MARVIN|MARV
MASON|MASE
MATHEW|MATA
MATTHEW|MATA
MATHEW|MATE
MATTHEW|MATE
MATHEW|MATH
MATTHEW|MATH
MATHEW|MATI
MATTHEW|MATI
MATHEW|MATS
MATTHEW|MATS
MATHEW|MATT
MATTHEW|MATT
MATHEW|MATZ
MATTHEW|MATZ
MAURICE|MAUR
MAXINE|MAXA
MAXIMILIAN|MAXI
MAXINE|MAXI
MAXINE|MAXY
MAXWELL|MAXY
AMAYA|MAYA
MAY|MAYE
CLEMENT|MENZ
MERVIN|MERV
MARGARET|META
MICHAEL|MICK
MICKEL|MICK
MICKEY|MICK
MICKI|MICK
MICKIE|MICK
MICHAEL|MICO
MIGUEL|MICO
MICHAEL|MIKE
MICHAELSON|MIKE
MICHALE|MIKE
MICHEAL|MIKE
MICKEL|MIKE
MIKAEL|MIKE
MIKAIL|MIKE
MIKAL|MIKE
MIKEAL|MIKE
MIKEL|MIKE
MIKELL|MIKE
MIKHAEL|MIKE
MIKHAIL|MIKE
MYKEL|MIKE
MICKEY|MIKK
MICKI|MIKK
MICKIE|MIKK
MIKKI|MIKK
MILDRED|MILA
MIRIAM|MIMI
MIRANDA|MIRA
VERONICA|VONNIE
MOLLY|MOLL
MONICA|MONA
RAMONA|MONA
MONICA|MONN
MOSES|MOSE
MORRIS|MOSS
MOY|MOYE
KATHERINE|KEITA
KENNETH|KENAE
KENNETH|KENAI
KENARD|KENAR
KENDAL|KENDA
KENDALL|KENDA
KENDELL|KENDA
KENDAL|KENDO
KENDALL|KENDO
KENDELL|KENDO
KENDRA|KENDR
KENNEDY|KENDY
KENNETH|KENEA
KENDAL|KENEE
KENDELL|KENEE
KENNARD|KENEE
KENNEDY|KENEE
KENNETH|KENEE
KENNEDY|KENNA
KENDAL|KENNE
KENDALL|KENNE
KENDELL|KENNE
KENNETH|KENNE
KENDAL|KENNI
KENDALL|KENNI
KENDELL|KENNI
KENNARD|KENNI
KENNETH|KENNI
KENDAL|KENNY
KENDALL|KENNY
KENDELL|KENNY
KENNARD|KENNY
KENNETH|KENNY
KENT|KENTI
KENNETH|KENYE
MICHAEL|MYKE
MYKEL|MYKE
MINERVA|MYNA
KAREN|KERRI
KENISHA|KESHA
KEVIN|KEVIE
NAN|NANA
NANCI|NANA
NANCIE|NANA
NANCY|NANA
NANCI|NANC
NANCIE|NANC
NANCY|NANC
NAN|NANI
NANCI|NANI
NANCIE|NANI
NANCY|NANI
NANETTE|NANI
NANCI|NANN
NANCIE|NANN
NANCY|NANN
NANETTE|NANN
NANNETTE|NANN
NANCI|NANY
NANCIE|NANY
NANCY|NANY
NANETTE|NANY
NATHAN|NATE
NATHANIEL|NATE
NATHON|NATE
NATALIE|NATI
LYNELL|NELL
NELLY|NELL
PARNELL|NELL
NICOLE|NICA
DOMINIC|NICK
NICHOLAS|NICK
NICHOLAS|NIKI
DANIEL|NILO
NELSON|NILS
ANITA|NITA
JUANITA|NITA
NORMAN|NORM
NOY|NOYE
THOMAS|TOMMEY
THOMAS|TOMMIE
TOMAS|TOMMIE
TOMASINA|TOMMIE
THOMAS|TOMMYE
TOMMY|TOMMYE
SOLOMON|SOLLIE
WOODROW|WOODY
ANDREA|ANNDEE
ANGELA|ANNGEL
ANGELA|ANNGIE
OAKLEY|OAKS
OBERT|OBEE
OBERT|OBIE
OSCAR|OCIE
OGDEN|ODDY
OGDEN|ODIE
OLAV|OLEN
ALEXANDER|OLES
OLIVER|OLIE
ANTOINETTE|TONNIE
AURORA|ORIE
ORRIN|ORIE
ORLANDO|ORLO
ROLAND|ROLLIE
OSCAR|OZIE
PARKER|PARK
PATRICIA|PATE
PATIENCE|PATI
PATRICIA|PATI
PATRICIANA|PATI
PATRISA|PATI
PATRISIA|PATI
PATIENCE|PATT
PATRICIA|PATT
PATIENCE|PATY
PATRICE|PATY
PATRICIA|PATY
PAUL|PAVA
PAUL|PAVO
PAY|PAYE
MARGARET|PEGG
PEGGY|PEGG
MARGARET|PEGI
PERCIVAL|PERC
PETER|PETE
PHILIP|PHIL
JOSEPH|PINO
PRISCILLA|PIRI
PAUL|POLI
POLLY|POLL
PENELOPE|POPI
PRISCILLA|PRIS
ROMEY|ROMMIE
RICHARD|RITCHEY
RICHARD|RITCHIE
BEATRICE|BEATTIE
RONALD|RONCIE
CHRISTOPHER|TOPHER
RONDEL|RONDEY
RONALD|RONDIE
RONDEL|RONDIE
RONALD|RONNAE
RONALD|RONNEE
RONALD|RONNEY
RONALD|RONNIE
RONALD|RONNYE
KIMBERLY|KIMBE
KIMBERLY|KIMBI
KIMBERLY|KIMIE
KIMBERLY|KIMME
KIMBERLY|KIMMI
KIMBERLY|KIMMY
KATHLEEN|KITTI
KATHERINE|KITTY
KATHLEEN|KITTY
RONALD|RONYAY
KEZIAH|KIZZY
RAYMOND|RAME
RAYMOND|RAMI
RAYMOND|RAMY
REGINA|RANE
RAY|RAYE
RAYMOND|RAYE
REBECCA|REBA
REBECCA|REBE
REGINA|REGI
IRENE|RENA
REGINA|RENA
IRENE|RENE
RAYMOND|REYE
REE|REYE
REY|REYE
REA|RHEA
RIED|RHED
REE|RHEE
REN|RHEN
REW|RHEW
RIM|RHIM
ROE|RHOE
RUE|RHUE
BRIAN|RIAN
RHIANNON|RIAN
ERIC|RICC
RICHARD|RICH
RICHARDO|RICH
RITCHIE|RICH
ERIC|RICI
RICARDO|RICI
RICHARD|RICI
DEREK|RICK
ERIC|RICK
FREDERICK|RICK
RICARDO|RICK
RICHARD|RICK
RICARDO|RICO
RICHARD|RICO
RICHARDO|RICO
ERIC|RICY
GABRIEL|RIEL
FREDERICA|RIKE
REBECCA|RIKI
RICHARD|RIKI
RICARDO|RIKO
RICHARD|RIKO
IRINA|RINA
KATHERINE|RINA
MARGARET|RITA
SOPHIA|SOPHIE
ROBERT|ROBR
ROBERT|ROBT
ROCHELLE|ROCH
RUDOLPH|ROLF
ROMEY|ROMY
RONALD|RONE
RONALD|RONI
RONALD|RONN
RONALD|RONY
AURORA|RORA
RODERICK|RORY
ANTOINETTE|ROSE
ROSE|ROSY
ROXANNE|ROXY
ROY|ROYE
REUBEN|RUBE
RUDOLF|RUDY
RUDOLPH|RUDY
RUSSELL|RUSH
RUSSELL|RUSS
RUTH|RUTI
BRIAN|RYAN
REBECCA|RYBA
SHUTT|SCHUTT
SAMANTHA|SAMI
SANDRA|SAND
SANDRA|SANN
SARA|SASA
SARAH|SASA
SAY|SAYE
SEBASTIAN|SEBO
SARA|SELA
CHERYL|SHAR
SHELBY|SHEL
SHELDON|SHEL
SHIRLEY|SHER
CECELIA|SILE
SIMON|SIMM
CLARENCE|SKIP
SLY|SLYE
STANLEY|STAN
STEFAN|STEV
STEPHAN|STEV
STEPHEN|STEV
STEVEN|STEV
STEWART|STEW
SUSAN|SUSA
SUSANA|SUSA
SUSANNA|SUSA
SUSANNAH|SUSA
SUSAN|SUSE
SUSANA|SUSE
SUSANNA|SUSE
SUSANNAH|SUSE
SUSAN|SUSI
SUSANA|SUSI
SUSANNA|SUSI
SUSANNAH|SUSI
SUSAN|SUSY
SUSANA|SUSY
SUSANNA|SUSY
SUSANNAH|SUSY
SUSAN|SUZE
SUZANNA|SUZE
SUZETTE|SUZE
SUSAN|SUZI
SUZANNA|SUZI
SUZETTE|SUZI
SUSAN|SUZY
SUZANNA|SUZY
SUZETTE|SUZY
JOHN|JOHHNY
JOHN|JOHNAY
JOHNA|JOHNEE
JOHN|JOHNEY
JOHN|JOHNIE
JOHN|JOHNNE
JOHN|JOHNNI
JOHN|JOHNNY
MCALL|MCCALL
MCANE|MCCANE
MCLAY|MCCLAY
MCLEE|MCCLEE
MCLOY|MCCLOY
MCOWN|MCCOWN
MCRAE|MCCRAE
MCRAY|MCCRAY
MCREA|MCCREA
MCREE|MCCREE
MCROY|MCCROY
MCUNE|MCCUNE
GUSTAV|TABO
TANYA|TANY
TATIANA|TATA
TATIANA|TATI
GUSTAV|TAVO
EDWARD|TEDY
TERESA|TERI
THERESA|TERI
THERESA|TERY
THERESA|TESS
TERESA|TETE
TIMOTHY|TEYO
THADDEUS|THAD
THEODORA|THEA
EDWARD|THEO
TEO|THEO
THEODORA|THEO
THOMAS|THOS
TIFFANY|TIFF
TIMOTHY|TIMI
TIMOTHY|TIMM
TIMOTHY|TIMO
TIMOTHY|TIMY
MARGARET|TITA
TOBIAS|TOBY
THOMAS|TOME
THOMAS|TOMI
TOMAS|TOMI
THOMAS|TOMM
THOMAS|TOMY
ANTOINETTE|TONI
ANTONIA|TONI
TOINETTE|TONI
ANTHONY|TONY
ANTOINETTE|TONY
ANTONIA|TONY
ANTONIO|TONY
TORRENCE|TORN
TORRENCE|TORR
TORRENCE|TORY
TOY|TOYE
TREVOR|TREV
TRISTAN|TRIS
TRIXIE|TRIS
TRIXIE|TRIX
KATHERINE|TRYN
TULLY|TULL
ARTHUR|TURI
TYSON|TYCE
XANDER|XANDE
ANTHONY|ANTHON
URIEL|URIE
CHARLOTTE|TOTTIE
DOROTHY|DODDIE
BARBARA|BOBBIE
ROBERT|BOBBIE
ROBERTA|BOBBIE
BOBBY|BOBBYE
MCCUEN|MCEUEN
VALERIE|VALE
VERONICA|VERA
VERNON|VERN
VICTOR|VICK
VIVIAN|VIVI
VLADIMIR|VLAD
VERONICA|VRON
RAYMOND|MONCHI
ROSE|ROSSIE
MONICA|MONNIE
GABRIELLA|GABRIELLE
MCLAFFERTY|MCCLAFFERTY
WALDO|WALD
WALTER|WALT
EDWARD|WARD
WARREN|WARE
WAY|WAYE
WESLEY|WESS
WILLIAM|WILI
WILFRED|WILL
WILLI|WILL
WILLIAM|WILL
WILLIE|WILL
WILLY|WILL
WILMER|WILM
WILL|WILS
WILLI|WILS
WILLIAM|WILS
WILLIE|WILS
WILLY|WILS
WOODROW|WOOD
WRY|WRYE
NICHOLAS|KOLYA
THOMAS|KOMAKI
XANDER|XAND
YOLANDA|YOLA
JOAN|JONAEE
NORMAN|NORMIE
NORRIS|NORRIE
NORVIN|NORVIE
JUANA|JONNAE
JUANA|JONNAY
JON|JONNEY
JON|JONNIE
JON|JONNYE
BARBARA|BABETTE
SCOTT|SCOTTE
SCOTT|SCOTTI
SCOTT|SCOTTO
SCOTT|SCOTTY
ZACHARY|ZACH
ZACHARY|ZACK
EZEKIEL|ZECH
EZEKIEL|ZEKE
CHRISTOPHER|KRISS
MAURICE|MORRIE
MORTON|MORTIE
SPENCER|SPENCE
LORETTA|LORETT
MOSES|MOSSIE
SHULTE|SCHULTE
SHULTZ|SCHULTZ
LORRAINE|LORRIE
HONORA|HONNER
HONORA|HONNOR
MCCAIG|MCKAIG
MCCAIN|MCKAIN
MCCANE|MCKANE
MCCOON|MCKOON
MCCOWN|MCKOWN
MCCUNE|MCKUNE
BRONWYN|BRONNEY
BRONSON|BRONNIE
BRONWYN|BRONNIE
ADELAIDE|LAIDY
ORLANDO|LANDO
ELAINE|LANEY
ELAINE|LANIE
LAURENCE|LANNY
LAWRENCE|LANNY
LAWRENCE|LARIE
LORRAINE|LARIE
LAWRENCE|LARRE
LAWRENCE|LARRI
CLARENCE|LARRY
LAURENCE|LARRY
LAWRENCE|LARRY
LAWRENCE|LARYY
NICHOLAS|LASSE
LAURA|LAURI
LAWRENCE|LAWRE
MCADAMS|MCCADAMS
JORDAN|JORDEE
JORDAN|JORDEY
JORDAN|JORDIE
CHARLOTTE|LOTTIE
DOROTHY|DOLLIE
ALPHONSO|FONZIE
JOSHUA|JOSSIE
JOSSALIN|JOSSIE
DOMINIC|DOMINY
COLLEEN|COLLEE
COLLEEN|COLLIE
COLLEEN|COLLYE
DONALD|DONNAY
DONALD|DONNEE
DONALD|DONNEY
DONALD|DONNIE
DONALD|DONNYE
LINDA|LINDIDA
GORDON|GORDIE
CONCHITA|CONCHA
CONSTANCE|CONNEE
CONRAD|CONNIE
CONSTANCE|CONNIE
CONSTANCIA|CONNIE
CONSTANTINE|CONNIE
CARMELA|LEETA
ALLEGRA|LEGRA
ASHLEY|LEIGH
HADLEY|LEIGH
LELAND|LEIGH
LEROY|LEIGH
LAWRENCE|LENCI
GLENN|LENNY
LEON|LENNY
LEONARD|LENNY
LETICIA|LETHA
LETICIA|LETTY
LEWIS|LEWIE
ALEXANDRA|LEXIE
ALEXIS|LEXIE
ALEXIS|LEXIS
ALEXIS|LEXUS
KIMBERLY|KYMME
JOVANNA|JOVANN
BONITA|BONNEE
BONITA|BONNEY
BONITA|BONNIE
BONITA|BONNYE
LAURA|LAURELLE
DORIS|DORRIE
DORIS|DORSIE
MARGARET|GRIETJE
CORDELL|CORDIE
CORNELIUS|CORNEY
CORNELIA|CORNIE
CORNELIUS|CORNIE
GRIFFIN|GRIFFIE
GRIFFITH|GRIFFIE
ELIZABETH|LIBBY
LYDIA|LIDDY
ELISE|LIESE
LILITH|LILLY
LILLIAN|LILLY
BELINDA|LINDA
LINDA|LINDE
LINDELL|LINDE
LINDA|LINDI
LYNDIA|LINDI
LINDA|LINDY
LINDSAY|LINDY
LINDSEY|LINDY
LIN|LINEE
LINDA|LINEE
LINN|LINEE
LINDA|LINNE
LIN|LINNY
LINDA|LINNY
LINN|LINNY
ELISHA|LISHA
